Row,Registration,Zipcode,Age,Partner_company,Friend_promo,Contract_period,Lifetime,Class_registration_weekly,Avg_additional_charges_total,Cancellation_freq,Exited,
11190,2149461,29941,48,0,1,12,9,1.24,118.32,0,0,
11191,2149509,57328,33,1,0,1,3,1.88,171.08,0,0,
11192,2149591,29941,43,0,1,12,4,3.24,161.48,0.15,0,
11193,2149663,29941,24,1,0,12,9,0,233.22,0,0,
11194,2149699,57328,42,1,0,1,8,0.81,171.08,0.02,0,
11195,2149757,57328,43,0,1,1,3,1.65,249.3333333,0.07,0,
11196,2150121,29941,56,0,0,12,3,1.27,101.05,0.25,1,
11197,2150154,29941,60,0,0,1,3,2.04,123.61,0.69,1,
11198,2150264,57328,42,0,0,6,4,2.61,118.8,0.01,0,
11199,2150306,57328,34,0,1,6,2,2.42,163.28,0.1,0,
11200,2150536,33726,35,1,1,6,7,1.17,201.6666667,0,0,
11201,2150667,57328,31,1,1,12,3,1.88,134,0.04,0,
11202,2150907,57328,28,0,1,12,2,1.35,182.25,0.03,0,
11203,2150994,57328,82,0,1,6,6,1.5,246.84,0.23,0,
11204,2151012,57328,32,1,1,12,7,2.39,176.89,0,0,
11205,2151036,57328,29,1,0,12,5,0.42,197.16,0,0,
11206,2151074,29941,32,1,0,12,6,2.39,218.6666667,0.19,0,
11207,2151093,29941,50,0,0,1,3,0.28,261.56,0.06,1,
11208,2151236,29941,30,0,0,12,10,1.43,98.56,0.16,0,
11209,2151245,29941,41,0,0,1,4,2.07,128.5,0.14,0,
11210,2151514,57328,35,0,1,6,8,2.14,184,0.03,0,
11211,2151611,29941,51,1,0,12,5,2.18,177,0,0,
11212,2151614,29941,51,1,1,12,4,0.6,217.56,0.17,1,
11213,2151684,29941,21,0,1,12,6,2.21,137.94,0.17,0,
11214,2151764,29941,18,1,0,12,6,1.2,170.1,0,0,
11215,2152100,57328,28,0,1,12,4,2.55,245.6666667,0.23,0,
11216,2152351,57328,49,0,1,6,2,1.22,176.4,0.11,1,
11217,2152362,29941,42,1,1,1,3,0.58,131.61,0.12,1,
11218,2152552,29941,23,1,0,12,2,1.41,136.31,0.07,0,
11219,2152809,57328,47,1,0,12,3,2.22,258.12,0,0,
11220,2153193,29941,31,1,0,1,1,2.81,151.25,0.36,0,
11221,2153381,57328,29,0,1,1,9,2.36,155.33,0.13,0,
11222,2153445,29941,22,1,1,12,1,1.61,202,0.1,0,
11223,2153583,29941,42,0,1,1,4,1.5,79.98,0.45,1,
11224,2153629,33726,45,1,1,1,4,1.41,65.33,0.19,1,
11225,2153897,57328,46,1,0,12,9,1.96,126.28,0.07,0,
11226,2154261,57328,33,1,1,6,4,3.13,207.3333333,0.42,0,
11227,2154479,29941,51,0,0,6,2,0.66,189.24,0.27,1,
11228,2154529,29941,40,0,1,12,3,1.89,257.6666667,0.05,0,
11229,2155145,57328,50,1,0,12,5,3.37,225,0.14,0,
11230,2155248,57328,50,1,0,12,4,0.86,110.88,0.02,0,
11231,2155324,29941,39,0,0,1,3,0.29,99.36,0.07,1,
11232,2155414,57328,73,1,0,1,2,0.76,157.17,0,0,
11233,2155432,29941,39,0,1,12,7,1.87,161.7,0.07,0,
11234,2155435,29941,79,1,0,12,10,1.32,158.24,0.07,0,
11235,2155504,57328,53,0,0,1,6,1.81,112,0.3,1,
11236,2155686,57328,48,0,1,12,2,0.67,145.44,0,0,
11237,2156036,29941,42,1,1,1,3,1.35,158.6,0.45,1,
11238,2156215,57328,25,1,0,1,6,1.53,172.8,0.1,0,
11239,2156556,33726,33,0,0,12,3,1.03,123.2,0.35,1,
11240,2156731,29941,40,0,1,6,4,1.08,233.6666667,0.08,0,
11241,2156824,33726,39,1,0,1,4,0.72,122.1,0.26,1,
11242,2156875,29941,31,0,1,12,5,0.22,99,0,0,
11243,2157036,57328,27,1,0,12,10,1.1,207.6666667,0.14,0,
11244,2157090,29941,36,1,1,12,2,1.01,275,0.02,0,
11245,2157292,57328,26,1,0,6,5,2.86,269.3333333,0.01,0,
11246,2157354,57328,40,0,1,12,2,1.71,161.6666667,0.08,0,
11247,2157370,57328,37,1,0,6,3,2.63,107.52,0.59,0,
11248,2157381,57328,47,0,1,6,2,1.74,113.36,0,0,
11249,2157527,57328,49,0,0,1,5,0.68,114.5,0.28,1,
11250,2157809,29941,50,1,0,12,4,0.97,220.3333333,0.07,0,
11251,2157818,57328,38,1,1,1,2,1.54,116.79,0.43,1,
11252,2157928,29941,60,1,1,1,1,0.28,81.2,0.16,1,
11253,2157929,57328,31,0,0,1,1,2.41,138.04,0.17,0,
11254,2158038,33726,50,1,1,12,1,0.25,150.48,0.09,1,
11255,2158127,29941,75,1,0,6,3,2.05,229.49,0.19,0,
11256,2158163,29941,33,0,1,6,4,1.26,125.44,0,0,
11257,2158273,57328,24,1,1,12,9,2.37,264.6666667,0.46,0,
11258,2158641,57328,32,1,1,12,2,1.63,211.3333333,0.06,0,
11259,2158649,57328,31,1,0,6,1,1.35,190,0.04,0,
11260,2158662,57328,34,0,1,12,4,1.54,231.6666667,0.19,0,
11261,2158837,57328,31,0,1,12,4,1.08,177.56,0.04,0,
11262,2158938,57328,27,1,0,12,4,0.79,204.6666667,0.17,0,
11263,2158976,29941,28,1,0,12,7,2.63,246.4,0.08,0,
11264,2159198,29941,38,0,1,6,6,0.72,271.6666667,0,0,
11265,2159216,57328,28,1,0,6,6,1.67,181,0.11,0,
11266,2159343,57328,49,1,0,6,2,1.17,196.3333333,0.06,0,
11267,2159525,29941,39,1,1,6,2,1.15,199.1,0.25,1,
11268,2159535,29941,35,0,1,12,3,2.93,201.3333333,0.05,0,
11269,2159669,29941,59,1,1,1,2,1.54,68.64,0.28,1,
11270,2159757,29941,38,0,0,12,9,0.75,228,0,0,
11271,2159859,57328,26,1,0,1,3,1.34,215.46,0.11,0,
11272,2159861,57328,41,1,0,12,11,2.34,196.6666667,0,0,
11273,2159873,29941,24,0,1,6,4,1.46,192,0,0,
11274,2159909,57328,25,0,1,12,1,0.98,251.35,0.12,0,
11275,2160067,57328,43,0,1,12,4,1.68,198.72,0.14,0,
11276,2160091,29941,33,1,0,1,3,0.64,259.74,0.18,1,
11277,2160257,57328,22,1,0,6,3,2.42,231.6666667,0.09,0,
11278,2160278,57328,31,0,1,12,9,2.99,260,0.37,0,
11279,2160325,33726,36,0,0,12,3,1.01,105.75,0.08,1,
11280,2160566,33726,38,1,1,6,3,1.87,186.18,0.28,1,
11281,2160632,57328,72,0,1,12,2,1.01,215.1,0.02,0,
11282,2160667,57328,41,0,1,12,2,0.91,220.64,0.01,0,
11283,2160737,29941,36,1,0,12,4,0.67,239.6666667,0.02,0,
11284,2160927,57328,31,0,1,12,7,1.83,85.86,0.04,0,
11285,2160958,57328,40,1,0,1,3,0.65,178.3333333,0,0,
11286,2161159,29941,73,1,0,1,3,2.65,232.6666667,0.19,0,
11287,2161201,57328,44,1,0,1,4,1.83,196.3333333,0,0,
11288,2161308,57328,50,1,0,1,2,0.56,112.32,0,0,
11289,2161486,57328,39,1,0,1,1,2.51,233,0.25,0,
11290,2161512,29941,36,0,1,12,1,3.09,204.3333333,0.15,0,
11291,2161571,29941,44,0,1,12,3,1.24,255.6666667,0.03,0,
11292,2161574,29941,44,0,0,12,10,2.39,170,0,0,
11293,2161586,57328,41,1,0,12,4,1.85,226.44,0.04,0,
11294,2161805,29941,30,0,1,12,2,1.93,192.6666667,0.26,0,
11295,2161835,57328,38,0,1,6,6,1.25,211.14,0,0,
11296,2161904,57328,22,0,1,12,5,2.14,246.6,0.2,0,
11297,2161975,57328,29,0,1,12,5,1.53,112.5,0.22,0,
11298,2162128,57328,54,1,0,6,4,2,149.04,0.05,0,
11299,2162196,57328,27,1,0,12,7,2.19,209.3333333,0.04,0,
11300,2162524,57328,30,1,0,1,3,2.75,73.92,0,0,
11301,2162612,57328,40,1,0,1,5,2.33,188.24,0.11,0,
11302,2162665,29941,54,0,0,12,3,0.66,107.55,0.2,1,
11303,2162985,29941,54,1,1,1,3,0.76,110.76,0.26,1,
11304,2163059,29941,51,1,1,6,1,0.79,82.94,0,1,
11305,2163144,29941,26,1,0,1,9,1.27,214,0.03,0,
11306,2163445,29941,28,0,1,1,7,2.27,217.6666667,0.16,0,
11307,2163580,57328,33,1,0,6,1,0.81,260,0,0,
11308,2163641,29941,37,0,1,12,3,0.73,220,0,0,
11309,2163653,57328,27,0,1,12,3,2.82,207.23,0.17,0,
11310,2163680,57328,43,0,1,1,4,1.89,177.55,0,0,
11311,2163704,29941,36,0,1,6,3,1.29,137.19,0.07,0,
11312,2163710,29941,46,0,1,6,3,1.49,217.3333333,0,0,
11313,2163895,57328,38,1,0,12,6,2.1,82.6,0.27,0,
11314,2164002,29941,36,1,0,12,6,2.14,123.61,0.11,0,
11315,2164092,29941,44,0,0,1,7,1.26,185.64,0.23,1,
11316,2164353,29941,40,0,0,1,5,1.15,70.84,0.17,1,
11317,2164386,29941,30,0,1,1,7,1.34,224.3333333,0.09,0,
11318,2164633,29941,53,0,0,6,4,1.42,10.6,0.27,1,
11319,2164718,33726,37,0,0,1,5,1.74,98.45,0.11,1,
11320,2164804,57328,28,0,1,6,9,1.98,177.6666667,0.19,0,
11321,2164824,57328,30,0,1,12,3,0.49,186.48,0,0,
11322,2165281,57328,42,0,0,12,3,1.96,217.25,0.18,0,
11323,2165335,57328,28,0,1,12,7,1.31,204,0.04,0,
11324,2165391,57328,41,1,0,6,2,1.64,115.68,0,0,
11325,2165410,57328,37,0,1,6,4,1.27,200.6666667,0,0,
11326,2165474,29941,45,1,0,1,5,3,216,0.24,0,
11327,2165527,57328,39,0,1,1,4,2.17,232.75,0.25,0,
11328,2165719,29941,30,0,1,12,10,1.88,146.88,0,0,
11329,2165737,29941,57,1,1,1,6,0.94,151.79,0.26,1,
11330,2165742,57328,24,0,1,12,5,2.44,182.52,0,0,
11331,2165754,29941,31,0,1,12,3,1.71,256.88,0.16,0,
11332,2165756,57328,30,1,0,1,3,0.42,168.5,0.04,0,
11333,2165925,29941,37,1,0,12,6,1.5,184.3333333,0.1,0,
11334,2166010,29941,49,1,1,1,1,1.6,117.18,0.71,1,
11335,2166197,29941,44,0,1,1,3,1.85,133.56,0.19,0,
11336,2166295,29941,34,1,0,6,6,0.08,139.5,0,0,
11337,2166451,33726,77,1,0,12,10,0.59,233.3333333,0.06,0,
11338,2166549,57328,40,0,1,6,13,2.05,142.8,0.12,0,
11339,2166596,29941,30,1,0,1,4,2.45,104.5,0.05,0,
11340,2166766,29941,40,1,0,12,13,1.49,209.6666667,0.11,0,
11341,2166927,29941,28,0,1,6,8,1.56,195.36,0.01,0,
11342,2166942,57328,42,1,0,1,4,2.48,196.3333333,0.34,0,
11343,2167177,29941,36,1,1,1,3,1.72,257.6666667,0.15,0,
11344,2167271,29941,29,0,0,1,9,2.61,210.3333333,0.21,0,
11345,2167311,29941,18,0,1,12,7,1.2,180.3333333,0.02,0,
11346,2167338,29941,28,1,0,12,7,1.04,83.7,0.01,0,
11347,2168160,29941,24,0,1,6,2,2.41,240.3333333,0.05,0,
11348,2168343,57328,29,0,0,12,3,0.52,143.92,0,0,
11349,2168410,57328,42,1,1,12,3,0.81,215.6666667,0.08,0,
11350,2168459,57328,39,0,1,6,4,1.63,189.6666667,0.16,0,
11351,2168566,57328,37,1,1,1,2,1.04,166.42,0.33,1,
11352,2168701,57328,27,1,0,12,7,0.98,239.2,0.04,0,
11353,2168761,57328,52,1,0,12,3,0.39,91.52,0,0,
11354,2168818,57328,42,0,1,6,1,1.76,202.3333333,0.06,0,
11355,2168854,29941,22,0,1,6,6,1.43,216.16,0.08,0,
11356,2168971,57328,23,0,1,6,5,1.54,233.58,0.03,0,
11357,2169078,29941,44,1,0,1,4,1.58,155.1,0.07,0,
11358,2169425,57328,28,0,1,1,2,1.72,234,0,0,
11359,2169649,57328,33,1,0,12,5,2.26,194,0.17,0,
11360,2169715,29941,60,0,1,12,3,0.24,251.3333333,0,0,
11361,2169801,29941,30,0,1,12,5,1.94,142.4,0.2,0,
11362,2169827,29941,46,0,0,1,1,1.05,232.26,0.42,1,
11363,2169828,57328,30,1,1,1,9,2.22,231.84,0.2,0,
11364,2169845,57328,26,1,0,6,2,1.12,209,0,0,
11365,2169925,65232,51,0,0,12,1,0.61,144.72,0.06,1,
11366,2170477,57328,38,1,1,1,1,0.95,25.65,0.35,1,
11367,2170550,29941,48,1,0,12,11,1.66,184.97,0.07,0,
11368,2170708,29941,37,0,1,12,8,2.5,194.3333333,0.24,0,
11369,2170726,29941,61,0,0,12,4,1.16,225.12,0.4,1,
11370,2170782,29941,48,1,0,12,6,0.25,212.6666667,0,0,
11371,2170861,57328,39,0,1,6,12,1.6,198.72,0.11,0,
11372,2170967,33726,32,1,1,1,4,0.79,215.04,0.07,1,
11373,2171018,29941,41,1,0,1,3,1.72,223.3333333,0.12,0,
11374,2171170,57328,59,0,1,1,1,1.95,183.18,0,0,
11375,2171224,57328,42,0,1,6,3,2.72,165.78,0.37,0,
11376,2171264,57328,41,1,0,6,8,2,110.16,0.22,0,
11377,2171384,57328,32,0,1,6,3,1.31,188.3333333,0,0,
11378,2171495,57328,30,0,1,6,2,2.24,225.3333333,0.1,0,
11379,2171527,57328,36,0,1,12,2,2.72,130.35,0.13,0,
11380,2171580,29941,49,1,1,1,4,1.24,98.55,0.44,1,
11381,2171629,29941,34,1,0,1,3,1.26,214.3333333,0.04,0,
11382,2171645,29941,30,0,1,12,5,2.26,251.68,0.07,0,
11383,2171664,29941,42,1,0,12,5,2.25,215.6666667,0,0,
11384,2171727,29941,31,0,1,6,2,1.62,203.51,0.13,0,
11385,2171742,57328,31,0,1,12,2,3.19,205.6666667,0.01,0,
11386,2171770,29941,27,1,0,12,2,3.97,227,0.26,0,
11387,2171795,29941,34,1,0,1,3,1.77,274.34,0.01,0,
11388,2171923,29941,35,1,0,12,3,2.5,225.97,0.03,0,
11389,2171976,57328,30,0,1,1,9,1.6,240,0.18,0,
11390,2171977,57328,30,1,0,12,2,2.78,220.55,0,0,
11391,2172161,29941,48,1,1,12,3,0.86,121,0.28,1,
11392,2172306,57328,32,1,0,6,8,1.6,110,0,0,
11393,2172313,57328,33,1,0,6,5,1.91,198.72,0.01,0,
11394,2172333,57328,38,0,1,12,5,1.46,181.98,0.12,0,
11395,2172544,29941,31,0,1,1,4,3.67,283.3333333,0.45,0,
11396,2172558,29941,27,0,0,12,5,0.8,193.44,0.02,0,
11397,2172582,29941,41,0,1,1,2,1.96,198.3333333,0.18,0,
11398,2172584,29941,41,0,1,12,5,1.7,144.96,0.18,0,
11399,2172840,29941,49,1,1,1,5,1.14,52.64,0.04,1,
11400,2172862,29941,71,0,1,6,4,1.97,158.24,0.13,0,
11401,2172905,57328,47,0,0,1,1,0,139.12,0,1,
11402,2173132,29941,41,0,0,1,2,0,167.58,0,1,
11403,2173421,29941,28,1,0,12,10,2.21,102.06,0.09,0,
11404,2173463,57328,50,1,0,12,7,2.22,189,0.06,0,
11405,2173466,57328,24,1,0,12,1,1.42,269.6666667,0.13,0,
11406,2173539,29941,46,0,0,1,6,0.49,113.16,0.18,1,
11407,2173596,29941,64,0,0,1,2,0.33,9.6,0.11,1,
11408,2173635,29941,65,1,0,6,5,0.02,156.5,0,0,
11409,2173716,57328,28,1,0,12,3,3.17,185.5,0.12,0,
11410,2173766,29941,48,1,1,1,8,0.77,164.4,0.21,1,
11411,2173801,33726,48,1,0,1,4,0.83,102.82,0.25,1,
11412,2173880,57328,28,0,1,1,5,1.13,81.6,0.07,0,
11413,2173894,57328,28,0,1,12,9,2.21,233.6666667,0.25,0,
11414,2173931,57328,33,1,0,6,5,2.28,164.97,0.23,0,
11415,2174017,29941,39,1,1,1,2,0.73,170.1,0.23,1,
11416,2174022,57328,37,1,0,6,6,1.64,168,0.05,0,
11417,2174036,29941,53,0,1,1,14,0.77,151.7,0.04,0,
11418,2174037,57328,34,0,1,6,2,1.56,222.07,0.07,0,
11419,2174046,57328,63,1,0,12,6,2.66,163.56,0.13,0,
11420,2174105,57328,22,0,1,12,5,0.78,156.6666667,0.06,0,
11421,2174367,33726,35,1,1,12,5,1.51,246,0.01,0,
11422,2174489,29941,42,1,1,1,2,0.62,63.96,0.08,1,
11423,2174597,29941,35,1,0,1,3,1.94,130.05,0,0,
11424,2174780,29941,39,1,1,1,3,0.16,133.34,0.08,1,
11425,2174789,29941,60,0,0,6,2,2.86,163.35,0.86,1,
11426,2174893,57328,47,0,0,1,5,1.58,102.5,0.47,1,
11427,2175034,57328,55,1,1,1,2,2.15,36.6,0.51,1,
11428,2175104,29941,54,1,1,12,5,1.15,102.5,0.35,1,
11429,2175162,29941,26,0,0,12,8,0.21,191.1,0,0,
11430,2175498,65232,40,0,0,1,3,1.61,114.21,0.12,1,
11431,2175598,57328,27,0,1,6,2,1.41,152.3333333,0.08,0,
11432,2175800,57328,34,0,1,6,5,0,186.2,0,0,
11433,2175830,29941,20,0,1,6,4,2.08,210,0.08,0,
11434,2176064,29941,39,0,1,6,4,2.08,211,0.31,0,
11435,2176073,29941,37,0,1,1,7,0.78,276.3333333,0.04,0,
11436,2176193,57328,39,1,0,12,8,1.69,132.09,0.06,0,
11437,2176355,57328,32,0,0,1,6,1.81,186.3,0.57,1,
11438,2176522,29941,42,0,0,1,4,1.1,263.3333333,0.01,0,
11439,2176889,57328,51,0,1,1,3,1.82,110.51,0.13,0,
11440,2177111,57328,42,1,0,1,4,1.7,170.5,0.2,0,
11441,2177638,29941,42,1,1,12,3,2.34,143.04,0.69,1,
11442,2177736,57328,30,0,1,12,7,1.2,143,0.07,0,
11443,2178058,29941,32,0,1,12,3,2.37,234.71,0.23,0,
11444,2178102,29941,42,0,1,12,7,1.87,68.4,0,0,
11445,2178189,29941,47,0,0,1,4,0.96,87.42,0.28,1,
11446,2178431,29941,32,1,0,1,3,1.87,85.5,0.1,0,
11447,2178591,29941,26,1,0,12,4,0,141.68,0,0,
11448,2178626,57328,38,1,0,12,3,1.35,198.3333333,0.12,0,
11449,2178768,57328,36,0,0,6,9,0.79,243.6666667,0,0,
11450,2178854,29941,32,1,0,6,4,0.34,188.19,0,0,
11451,2178908,29941,35,1,0,12,7,1.78,241.3333333,0.23,0,
11452,2179266,57328,39,1,0,6,7,1.58,212,0.16,0,
11453,2179380,57328,62,0,1,1,2,2.21,95.89,0.22,0,
11454,2179484,57328,31,0,1,12,3,2.23,279.3333333,0,0,
11455,2179517,57328,26,0,1,12,5,2.78,243.3333333,0.17,0,
11456,2179750,29941,42,1,0,12,4,1.56,191.3333333,0.07,0,
11457,2179834,57328,46,0,1,12,2,2.76,283.3333333,0.08,0,
11458,2179903,29941,41,1,0,12,3,3.2,211,0,0,
11459,2180235,29941,48,0,0,1,4,0.9,41.85,0.09,1,
11460,2180399,57328,37,0,1,1,3,2.11,233.6666667,0.04,0,
11461,2180540,29941,53,1,1,12,2,0,37.5,0,1,
11462,2180942,57328,23,0,1,12,2,2.13,218.04,0.16,0,
11463,2180975,29941,29,0,1,6,6,2.83,130.52,0.2,0,
11464,2181165,57328,27,0,1,12,3,0.24,211.75,0,0,
11465,2181303,57328,31,1,1,12,4,1.48,269.3333333,0.18,0,
11466,2181486,57328,34,1,0,6,4,2.04,227.3333333,0.23,0,
11467,2181506,29941,28,0,1,12,5,0.76,217.8,0,0,
11468,2181558,57328,46,0,0,1,4,2,109.92,0.51,1,
11469,2181641,29941,23,0,1,1,4,1.83,126.36,0.14,0,
11470,2181979,57328,40,1,0,1,3,2.15,238,0.12,0,
11471,2182007,29941,21,1,0,12,6,1.64,213.3333333,0.18,0,
11472,2182226,57328,27,1,0,1,1,2.34,256.3333333,0.19,0,
11473,2182303,29941,29,1,1,12,2,1.99,209.3333333,0.13,0,
11474,2182371,29941,38,0,1,1,9,2.09,223.6666667,0,0,
11475,2182402,29941,39,1,1,1,7,1.84,228.83,0,0,
11476,2182558,29941,29,1,0,12,4,2.55,88.35,0.26,0,
11477,2182604,57328,28,1,0,12,6,1.89,195.3333333,0.17,0,
11478,2182636,57328,25,0,1,6,7,2.04,174.8,0.14,0,
11479,2182695,57328,39,0,1,1,3,1.64,154.14,0.16,0,
11480,2182744,57328,72,1,0,12,4,3.11,215.6666667,0.21,0,
11481,2182889,57328,28,1,0,12,2,0,145.08,0,0,
11482,2182901,29941,32,0,0,12,6,1.52,151.8,0.09,0,
11483,2183074,57328,35,0,0,12,6,2.57,246.33,0.16,0,
11484,2183339,57328,30,0,1,12,4,1.74,283.3333333,0,0,
11485,2183653,29941,36,1,0,12,3,2.88,196.6666667,0.31,0,
11486,2183956,29941,29,0,1,6,3,1.94,200.87,0.23,0,
11487,2184036,57328,50,1,1,6,2,0.23,229.36,0.12,1,
11488,2184143,29941,34,1,0,12,5,2.37,210.3333333,0.17,0,
11489,2184392,29941,50,0,0,1,3,1.4,47.94,0.1,1,
11490,2184394,57328,57,1,0,1,5,2.29,118.32,0.13,0,
11491,2184405,57328,32,1,0,6,9,1.35,162.62,0.03,0,
11492,2184447,57328,45,1,0,12,4,2.83,75.9,0.09,1,
11493,2184694,29941,37,0,1,12,2,1.74,233.3333333,0.11,0,
11494,2185023,29941,37,1,0,12,2,2.09,126.42,0.2,0,
11495,2185058,29941,35,1,1,1,3,1.3,60.76,0.14,1,
11496,2185307,29941,40,1,1,1,8,0.66,271.3333333,0.04,0,
11497,2185390,57328,18,0,1,1,2,0.43,230.3333333,0,0,
11498,2185589,29941,51,1,1,6,1,0.79,193.92,0.28,1,
11499,2185685,29941,33,0,1,1,6,1.48,117.18,0.07,0,
11500,2185697,57328,22,1,1,12,5,1.31,169.4,0.04,0,
11501,2185887,29941,29,1,1,12,5,1.05,273.6666667,0.05,0,
11502,2185955,57328,34,1,1,1,2,0.73,146,0,0,
11503,2185976,33726,43,1,1,1,5,1.28,63,0.14,1,
11504,2186225,57328,29,0,1,1,3,0.93,152.16,0.1,0,
11505,2186497,29941,31,1,0,12,7,1.84,216.3333333,0,0,
11506,2186652,57328,28,0,1,12,1,1.78,249,0,0,
11507,2186654,57328,35,0,1,12,6,2.06,143.1,0.07,0,
11508,2186707,57328,34,1,0,6,6,2.4,179.67,0.18,0,
11509,2186846,57328,40,1,0,6,9,1.5,70.2,0,0,
11510,2186941,29941,27,1,1,1,6,0.32,158.61,0.11,1,
11511,2187107,57328,43,0,1,12,15,1.94,205.6666667,0.21,0,
11512,2187144,65232,57,1,1,12,2,1.77,98,0.23,1,
11513,2187223,57328,26,1,0,12,7,2.28,252.3333333,0.15,0,
11514,2187374,57328,30,1,0,1,6,1.66,115.26,0,0,
11515,2187654,57328,38,0,1,1,3,0,218.6666667,0,0,
11516,2187662,29941,25,1,0,12,3,1.57,137.19,0.12,0,
11517,2187978,57328,41,0,1,6,3,2.3,109.14,0.38,0,
11518,2187999,57328,39,1,0,12,5,0.92,158.4,0.06,0,
11519,2188047,29941,32,1,0,12,8,0.81,107.12,0.04,0,
11520,2188201,29941,47,0,0,1,3,0.51,45.57,0.09,1,
11521,2188280,29941,38,0,1,12,6,1.43,129.36,0.12,0,
11522,2188362,29941,42,0,1,12,6,0.18,212,0,0,
11523,2188473,57328,27,0,1,6,2,1.32,217.83,0.14,0,
11524,2188561,57328,41,0,1,1,4,1.75,268.3333333,0.02,0,
11525,2188706,57328,44,0,1,6,6,0.97,191.6666667,0.05,0,
11526,2189003,57328,42,0,1,12,4,1.18,164.32,0.05,0,
11527,2189036,29941,17,0,1,12,6,1.13,196,0.03,0,
11528,2189177,57328,45,1,0,12,3,2.05,214,0.15,0,
11529,2189332,29941,50,0,0,12,2,1.53,122.4,0.6,1,
11530,2189368,29941,59,1,0,12,4,1.18,179.6666667,0.07,0,
11531,2189412,29941,35,1,0,12,4,2.27,283.3333333,0.18,0,
11532,2189451,57328,44,0,0,1,13,3.11,236.64,0.27,0,
11533,2189538,29941,41,0,1,12,4,1.25,204,0.07,0,
11534,2189575,29941,50,0,0,1,2,2.2,125.61,0.71,1,
11535,2189611,65232,43,0,0,1,4,1.62,99.64,0.25,1,
11536,2189662,29941,20,1,0,12,9,0.93,186.59,0.12,0,
11537,2189789,29941,38,1,1,1,4,1.23,29.7,0.18,1,
11538,2189877,29941,38,0,1,1,2,0.61,170.52,0,0,
11539,2189975,29941,30,1,0,12,12,2.76,264,0.12,0,
11540,2190074,29941,47,1,0,6,4,2.12,227.6666667,0.18,0,
11541,2190222,29941,43,0,1,12,2,1.65,241.6666667,0.14,0,
11542,2190261,29941,46,0,1,1,5,2.8,224.6666667,0,0,
11543,2190301,57328,42,1,0,6,6,1.54,210,0.24,0,
11544,2190481,57328,34,1,0,12,7,1.42,244.6666667,0.01,0,
11545,2190515,29941,56,0,1,1,3,0.27,152.5,0,0,
11546,2190674,57328,23,1,0,12,2,2.54,207.57,0.13,0,
11547,2190718,29941,27,1,0,12,5,1.33,256,0.14,0,
11548,2190889,29941,56,0,1,6,6,1.4,143.98,0.07,1,
11549,2190920,29941,47,0,1,12,5,1.87,221.3333333,0.07,0,
11550,2190976,29941,30,1,0,6,9,0,144.44,0,0,
11551,2191038,65232,45,0,0,12,4,1.4,118.8,0.17,1,
11552,2191155,29941,41,1,1,1,5,0.34,229.8,0.15,1,
11553,2191170,57328,30,0,1,6,7,1.96,218.6666667,0.2,0,
11554,2191377,57328,44,1,0,6,4,1.49,22.57,0.1,1,
11555,2191379,57328,59,0,1,6,4,1.49,148.99,0.1,0,
11556,2191529,57328,46,1,0,12,2,2.17,115.68,0.11,0,
11557,2191652,57328,40,1,0,1,2,1.24,101,0.02,0,
11558,2191693,57328,22,1,0,6,3,0.85,237.3333333,0.09,0,
11559,2191695,57328,33,1,0,1,3,0.17,139.44,0,0,
11560,2191914,29941,36,0,1,12,11,2.16,233.3333333,0.03,0,
11561,2191961,29941,52,1,1,12,4,1.06,168.15,0.33,1,
11562,2192161,29941,33,1,1,6,3,2.76,138.46,0.17,0,
11563,2192192,29941,24,1,0,12,3,0.95,234,0.05,0,
11564,2192282,65232,48,1,1,12,6,1.1,97.02,0.11,1,
11565,2192303,57328,40,1,0,6,3,2.37,198.6666667,0.09,0,
11566,2192473,29941,43,1,0,6,5,1.95,226,0.27,0,
11567,2192557,57328,39,1,0,12,6,1.95,170.1,0.25,0,
11568,2192635,29941,50,1,1,12,2,1.62,128.15,0.52,1,
11569,2192804,57328,47,0,1,12,9,0.69,94.16,0,0,
11570,2192879,57328,29,1,0,12,5,2.29,190.6666667,0.29,0,
11571,2192975,29941,34,0,1,1,5,4.06,189,0.15,0,
11572,2193050,57328,54,0,1,1,6,1.83,199.92,0.1,0,
11573,2193079,29941,32,0,1,6,5,1.34,197,0,0,
11574,2193221,29941,23,0,0,1,3,1.42,151.8,0.44,1,
11575,2193229,57328,36,0,0,1,2,0.48,162.98,0,0,
11576,2193558,29941,33,0,1,1,7,0.64,251.3333333,0,0,
11577,2193585,29941,36,0,0,1,2,0.52,90.65,0.19,1,
11578,2193624,29941,43,0,0,1,2,1.25,59.04,0.17,1,
11579,2193689,29941,38,0,1,1,4,2.14,192.92,0.06,0,
11580,2193754,29941,28,1,0,6,7,2.91,222.3333333,0.3,0,
11581,2194037,29941,47,1,0,1,3,1.8,102.52,0.54,1,
11582,2194227,65232,45,0,0,1,3,0.63,154.76,0.09,1,
11583,2194309,29941,21,0,1,6,5,0.88,148.72,0,0,
11584,2194419,57328,33,0,1,12,5,2,188.3333333,0.11,0,
11585,2194539,29941,37,0,0,6,6,0,138.18,0,0,
11586,2194729,29941,28,0,1,12,3,1.03,226,0.08,0,
11587,2194808,29941,35,1,0,12,8,1.37,166.6666667,0,0,
11588,2194943,57328,37,0,1,1,2,1.17,226.24,0,0,
11589,2194985,29941,28,0,1,6,10,0.46,229.54,0,0,
